run_id,implementation,platform,security,benchmark,duration_s,total_cams,throughput_cams_s,latency_mean_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us,sign_latency_mean_us
1,pypy_3.11,laptop,off,rx,60.000,1071711,17861.8,20.62,75.68,18.82,39.05,70.24,10.76,24095.05,0.00
2,pypy_3.11,laptop,off,rx,60.000,1024350,17072.5,18.71,72.07,12.72,30.77,63.00,10.76,20979.13,0.00
3,pypy_3.11,laptop,off,rx,60.000,993129,16552.1,22.54,76.96,22.59,36.59,66.84,10.81,22445.74,0.00
4,pypy_3.11,laptop,off,rx,60.000,1006326,16772.1,17.24,65.96,12.22,29.05,62.52,10.74,22072.50,0.00
5,pypy_3.11,laptop,off,rx,60.000,1064089,17734.8,19.59,67.84,20.50,30.99,63.03,10.79,21350.58,0.00
6,pypy_3.11,laptop,off,rx,60.000,1059055,17650.9,21.59,72.93,21.86,34.85,66.97,10.71,21661.24,0.00
7,pypy_3.11,laptop,off,rx,60.000,1053970,17566.1,20.09,72.86,20.94,31.27,62.78,10.72,24459.34,0.00
8,pypy_3.11,laptop,off,rx,60.000,1037008,17283.4,19.31,61.19,14.83,31.17,62.52,10.80,20722.94,0.00
9,pypy_3.11,laptop,off,rx,60.000,1069804,17830.0,21.08,72.41,21.73,32.67,64.94,10.80,21072.97,0.00
10,pypy_3.11,laptop,off,rx,60.000,1034050,17234.1,21.68,70.39,22.33,33.44,65.93,10.80,22451.38,0.00
11,pypy_3.11,laptop,off,rx,60.000,1062059,17701.0,19.68,67.38,20.52,31.34,62.72,10.84,21052.97,0.00
12,pypy_3.11,laptop,off,rx,60.000,1016245,16937.4,18.66,71.84,12.80,31.04,64.31,10.74,22835.79,0.00
13,pypy_3.11,laptop,off,rx,60.000,1062500,17708.3,19.80,74.22,20.43,31.77,63.67,10.66,23161.52,0.00
14,pypy_3.11,laptop,off,rx,60.000,981185,16353.0,18.64,66.95,12.84,31.10,63.89,10.84,21220.49,0.00
15,pypy_3.11,laptop,off,rx,60.000,1081490,18024.8,17.58,59.62,12.66,28.01,62.86,10.75,21754.71,0.00
16,pypy_3.11,laptop,off,rx,60.000,1036022,17267.0,21.00,67.38,21.87,32.39,65.14,10.80,21241.56,0.00
17,pypy_3.11,laptop,off,rx,60.000,1055789,17596.4,18.63,66.12,12.93,30.07,62.40,10.78,22113.13,0.00
18,pypy_3.11,laptop,off,rx,60.000,1057482,17624.7,18.23,64.85,12.71,29.08,62.70,10.95,20335.75,0.00
19,pypy_3.11,laptop,off,rx,60.000,1050152,17502.5,20.74,74.14,21.45,32.63,64.49,10.85,21684.95,0.00
20,pypy_3.11,laptop,off,rx,60.000,1010966,16849.4,20.48,69.27,21.51,32.49,64.95,10.82,21717.61,0.00
21,pypy_3.11,laptop,off,rx,60.000,1011082,16851.3,20.29,72.77,21.39,32.04,63.89,10.77,22597.27,0.00
22,pypy_3.11,laptop,off,rx,60.000,1050572,17509.5,16.59,62.96,12.11,26.21,60.96,10.75,21534.30,0.00
23,pypy_3.11,laptop,off,rx,60.000,1063254,17720.9,17.16,68.47,12.25,26.53,61.70,10.68,22309.05,0.00
24,pypy_3.11,laptop,off,rx,60.001,1068574,17809.4,20.83,69.14,21.73,33.01,64.30,10.83,20772.74,0.00
25,pypy_3.11,laptop,off,rx,60.000,1082694,18044.9,18.65,64.52,12.98,30.37,62.58,10.92,24124.88,0.00
26,pypy_3.11,laptop,off,rx,60.000,1078012,17966.8,18.49,61.31,12.88,30.12,62.22,10.84,22528.00,0.00
27,pypy_3.11,laptop,off,rx,60.000,1076006,17933.3,20.61,62.64,21.74,32.61,64.10,10.99,21588.73,0.00
28,pypy_3.11,laptop,off,rx,60.000,1063353,17722.5,18.11,58.99,12.68,29.74,63.20,10.85,23097.53,0.00
29,pypy_3.11,laptop,off,rx,60.000,1080401,18006.7,18.12,72.52,12.57,29.17,63.69,10.78,21725.32,0.00
30,pypy_3.11,laptop,off,rx,60.000,1044066,17401.0,20.04,73.67,20.90,31.87,62.90,10.83,22492.48,0.00
1,rust,rpi5,off,rx,60,1755590,29259.8,5.23,1.47,4.65,8.07,9.63,3.95,929.85,0
2,rust,rpi5,off,rx,60,1903633,31727.2,5.63,1.4,4.78,8.11,9.04,4,43.91,0
3,rust,rpi5,off,rx,60,1874795,31246.5,5.61,1.39,4.78,8.13,9.17,4,46.15,0
4,rust,rpi5,off,rx,60,1255373,20922.9,5.78,1.45,5.52,8.7,10.39,4,53.2,0
5,rust,rpi5,off,rx,60,1793349,29889.1,5.48,1.32,4.72,8.07,8.96,3.98,62.67,0
6,rust,rpi5,off,rx,60,1851014,30850.2,5.49,1.33,4.72,8.04,9.02,4,45.63,0
7,rust,rpi5,off,rx,60,1907823,31797,5.58,1.37,4.76,8.07,9.04,3.98,26.24,0
8,rust,rpi5,off,rx,60,1822135,30368.9,5.64,1.37,4.83,8.07,9.07,3.98,39.46,0
9,rust,rpi5,off,rx,60,1858848,30980.8,5.66,1.37,4.85,8.15,9.04,4,36,0
10,rust,rpi5,off,rx,60,1863491,31058.2,5.65,1.36,4.91,8.09,9,3.98,47.15,0
11,rust,rpi5,off,rx,60,1885310,31421.8,5.61,1.35,4.83,8.04,9.17,3.96,28.95,0
12,rust,rpi5,off,rx,60,1859564,30992.7,5.63,1.36,4.81,8.11,9.02,3.95,30.83,0
13,rust,rpi5,off,rx,60,1887056,31450.9,5.7,1.4,5.11,8.11,9.2,3.96,34.07,0
14,rust,rpi5,off,rx,60,1887594,31459.9,5.68,1.38,5.09,8.15,9.02,3.96,29.83,0
15,rust,rpi5,off,rx,60,1873664,31227.7,5.64,1.36,4.94,8.11,8.93,3.98,36.57,0
16,rust,rpi5,off,rx,60,1860349,31005.8,5.62,1.36,4.83,8.07,9.11,3.98,41.81,0
17,rust,rpi5,off,rx,60,1930130,32168.8,5.65,1.37,4.83,8.07,8.95,4,32.74,0
18,rust,rpi5,off,rx,60,1799582,29993,5.46,1.29,4.72,7.98,9,4,46.78,0
19,rust,rpi5,off,rx,60,1782312,29705.2,5.47,1.31,4.72,8.04,8.89,4,35.95,0
20,rust,rpi5,off,rx,60,1787109,29785.1,5.53,1.35,4.74,8.07,9.13,4,46.95,0
21,rust,rpi5,off,rx,60,1766612,29443.5,5.44,1.3,4.7,8.02,8.93,4,43.65,0
22,rust,rpi5,off,rx,60,1776382,29606.4,5.39,1.27,4.69,7.98,8.96,4.02,37.09,0
23,rust,rpi5,off,rx,60,1778070,29634.5,5.5,1.31,4.74,8.02,8.89,4,33.19,0
24,rust,rpi5,off,rx,60,1648849,27480.8,5.52,1.37,4.74,8.11,9.5,3.98,25.57,0
25,rust,rpi5,off,rx,60,1781571,29692.8,5.55,1.34,4.76,8.11,8.89,4,40.87,0
26,rust,rpi5,off,rx,60,1779411,29656.8,5.48,1.3,4.72,8,8.87,3.95,30.5,0
27,rust,rpi5,off,rx,60,1753447,29224.1,5.47,1.3,4.72,8.02,8.85,3.94,32.33,0
28,rust,rpi5,off,rx,60,1761127,29352.1,5.41,1.27,4.7,7.98,8.89,3.98,54.45,0
29,rust,rpi5,off,rx,60,1845323,30755.4,5.63,1.34,4.83,8.09,8.89,4,39.35,0
30,rust,rpi5,off,rx,60,1854596,30909.9,5.64,1.37,4.87,8.13,9.04,4.02,36.59,0
1,rust-cv2x,mk6,off,rx,60.001,83353,1389.2,58.65,21.83,51.75,100.26,126.76,37,910.32,0
2,rust-cv2x,mk6,off,rx,60,87696,1461.6,57.43,21.09,50.88,97.76,124.63,36.63,986.08,0
3,rust-cv2x,mk6,off,rx,60.005,86604,1443.3,59.07,21.18,52.75,99.26,125.64,37.75,1248.97,0
4,rust-cv2x,mk6,off,rx,60.003,85936,1432.2,57.82,20.84,51.13,98.26,125.26,36.75,830.57,0
5,rust-cv2x,mk6,off,rx,60.003,87493,1458.1,59.04,20.79,52.63,100.63,126.38,37.88,734.56,0
6,rust-cv2x,mk6,off,rx,60.001,86502,1441.7,57.42,21,51,97.38,124.13,36.63,994.33,0
7,rust-cv2x,mk6,off,rx,60.001,84399,1406.6,58.95,26.93,52.5,99.76,125.64,37.5,4973.89,0
8,rust-cv2x,mk6,off,rx,60,84747,1412.4,56.88,21.34,50.25,97.63,123.13,36.25,952.07,0
9,rust-cv2x,mk6,off,rx,60,85244,1420.7,59.99,22.27,53.13,101.38,127.76,38,1928.9,0
