implementation,platform,security,benchmark,n,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high,cv_pct,latency_mean_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us
cpython_3.13,laptop,off,codec-decode,30,36703.65,314.01861876493007,36586.393520696874,36820.90647930313,0.8555514744853171,26.911333333333335,260.66533333333336,24.703666666666663,26.530333333333335,54.332,22.84,54036.96
cpython_3.13,laptop,off,codec-encode,30,26450.289999999997,260.8768560729043,26352.876981004214,26547.70301899578,0.986291099541458,37.462333333333326,2.0043333333333333,37.63900000000001,38.717666666666666,39.86833333333334,32.83,3003.2
cpython_3.13,laptop,off,rx,30,11668.653333333332,600.2518395228577,11444.515612855159,11892.791053811505,5.144139793819605,32.05,3.2920000000000007,31.166333333333334,35.57533333333333,39.541000000000004,27.69,508.68
cpython_3.13,laptop,off,security-sign,30,1339.8400000000004,20.08951690945235,1332.3384511015051,1347.3415488984956,1.4993967122531304,745.9433333333334,34.26,745.198,789.8123333333334,812.2479999999999,590.03,3633.22
cpython_3.13,laptop,off,security-verify,30,190.45,2.2494060518738963,189.61005797616946,191.28994202383052,1.1811005785633482,5250.7103333333325,92.53033333333333,5240.317,5303.891333333334,5449.998666666666,5012.41,9834.64
cpython_3.13,laptop,off,tx,30,13641.369999999999,144.94856674006832,13587.245315664966,13695.494684335032,1.0625660526770282,72.69366666666666,4.697666666666667,72.473,75.36966666666667,78.45733333333335,66.61,2911.76
cpython_3.13,laptop,on,rx,30,188.51999999999998,2.589554614880378,187.5530444153334,189.48695558466656,1.3736232839382443,5296.312999999999,114.80900000000003,5286.994000000001,5377.053,5509.754333333334,5010.48,11205.92
cpython_3.13,laptop,on,tx,30,1174.0566666666666,16.11289231797241,1168.0400137942133,1180.07331953912,1.3724118073209763,851.2053333333334,39.25699999999999,849.9016666666668,898.1843333333331,923.553,705.13,2886.81
cpython_3.13,rpi5,off,codec-decode,30,31566.776666666672,117.42585829110351,31522.92913056669,31610.624202766656,0.3719919190073682,31.273333333333333,0.5603333333333331,31.242,31.906000000000006,32.532,29.98,171.0
cpython_3.13,rpi5,off,codec-encode,30,21826.55333333333,156.06362701847266,21768.278217279905,21884.828449386754,0.7150172756783069,45.433666666666674,0.9893333333333334,45.66166666666666,46.370999999999995,48.13133333333333,42.65,331.15
